Enemy Name,Enemy #,Eat
Nymph,170,I no can eat!
Jabberwock,171,I no can eat!
Feather Circle,172,I no can eat!
Garuda,173,I no can eat!
Yan,174,I no can eat!
Behemoth,175,Angel's Snack
Quale,176,I no can eat!
Ozma,177,I no can eat!
Nova Dragon,178,I no can eat!
Chimera,179,Frost
Iron Man,180,I no can eat!
Ash,181,Doom
Malaris,182,I no can eat!
Tiamat,183,I no can eat!
Stilva,185,Auto-Life
Kraken,186,I no can eat!
Right Tentacle,187,I no can eat!
Left Tentacle,188,I no can eat!
Lich,189,I no can eat!
Hades,190,I no can eat!
Maliris,191,Mustard Bomb
Tiamat,192,Twister
Kraken,193,Frost
Lich,194,LV5 Death
Death Guise,195,I no can eat!
Trance Kuja,196,I no can eat!
Necron,197,I no can eat!
