Enemy Name,Enemy #,Enemy Type,100% Steal,25% Steal,6.25% Steal,0.39% Steal,Eat,100% Item Drop,37.5% Item Drop,12.5% Item Drop,0.39% Item Drop,Card Dropped - 12.5%
Red Dragon,137,Boss,Tent,Ether,Elixir,Elixir,Twister,Ether,Sapphire,Sapphire,Sapphire,Abomination
Zorn,138,Boss - 2nd Fight,Partisan,Stardust Rod,Nothing,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Thorn,139,Boss - 2nd Fight,Mythril Armor,Mythril Armlet,Nothing,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Meltigemini,140,Boss,Vaccine,Golden Hairpin,Demon's Vest,Nothing,I no can eat!,Vaccine,Vaccine,Vaccine,Vaccine,Tantarian
Yan,141,Normal,Ore,Nothing,Nothing,Elixir,Auto-Life,Pheonix Down,Hi-Potion,Ether,Nothing,Zemzelett
Amdusias,142,Normal,Hi-Potion,Antidote,Pheonix Pinion,Ether,LV4 Holy,Nothing,Nothing,Nothing,Nothing,None
Veteran,143,Normal,Hi-Potion,Ether,Pheonix Pinion,Nothing,Doom,Topaz,Pheonix Down,Ether,Nothing,Veteran
Cerberus,144,Normal,Ore,Tent,Nothing,Ether,Auto-Life,Nothing,Opal,Ether,Opal,Cerberus
Agares,145,Normal,Tent,Soft,Ore,Nothing,I no can eat!,Nothing,Amethyst,Pheonix Down,Ether,Ragtimer
Gargoyle,146,Normal,Hi-Potion,Tent,Pheonix Pinion,Ether,Mighty Guard,Nothing,Sapphire,Pheonix Down,Nothing,Gargoyle
Tonberry,147,Normal,Hi-Potion,Pheonix Down,Pheonix Pinion,Ether,I no can eat!,Nothing,Peridot,Nothing,Ether,Tonberry
Taharka,148,Boss,Elixir,Mythril Claws,Orichalcon,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,Ramuh
Earth Guardian,149,Boss,Avenger,Rubber Suit,Nothing,Nothing,Earth Shake,Pheonix Pinion,Nothing,Nothing,Nothing,Atomos
Ring Leader,150,Normal,Echo Screen,Vaccine,Nothing,Nothing,Magic Hammer,Nothing,Amethyst,Eye Drops,Nothing,Ifrit
Hecteyes,151,Normal,Hi-Potion,Vaccine,Pheonix Pinion,Nothing,Roullette,Nothing,Pheonix Down,Vaccine,Ether,Hecteyes
Mover,152,Normal,Opal,Vaccine,Tent,Nothing,I no can eat!,Opal,Pheonix Down,Vaccine,Ether,Mover
Amdusias,153,Normal,Tent,Ether,Nothing,Nothing,I no can eat!,Ether,Nothing,Nothing,Nothing,Hedgehog Pie
Abadon,154,Boss,Vaccine,Ether,Nothing,Nothing,I no can eat!,Ether,Nothing,Nothing,Nothing,Abadon
Shell Dragon,155,Boss,Pheonix Down,Elixir,Nothing,Nothing,I no can eat!,Elixir,Hi-Potion,Vaccine,Nothing,Garuda
Malboro,156,Normal,Ore,Vaccine,Nothing,Nothing,Bad Breath,Ore,Nothing,Nothing,Ether,Malboro
Shell Dragon,157,Normal,Hi-Potion,Vaccine,Tent,Pheonix Pinion,Earth Shake,Ore,Topaz,Nothing,Ether,Garuda
Abadon,158,Normal,Garnet,Vaccine,Pheonix Pinion,Pheonix Pinion,Twister,Nothing,Garnet,Vaccine,Nothing,Abadon
Silver Dragon,159,Normal,Elixir,Dragon Mail,Kaiser Knuckles,Nothing,I no can eat!,Wing Edge,Elixir,Elixir,Elixir,Fenrir
Garland,160,Boss,Battle Boots,Ninja Gear,Dark Gear,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Kuija,161,Boss,Ether,Carabini Mail,Nothing,Light Robe,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Mistodon,162,Normal,Ore,Hi-Potion,Nothing,Nothing,Angel's Snack,Nothing,Peridot,Ether,Nothing,Sand Golem
Ragtime Mouse,163,Normal,Nothing,Nothing,Nothing,Nothing,I no can eat!,Protect Ring,Nothing,Nothing,Nothing,None
True,164,Boss - Ragtime Mouse,Nothing,Nothing,Nothing,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
False,165,Boss - Ragtime Mouse,Nothing,Nothing,Nothing,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Mu,166,Normal,Nothing,Nothing,Nothing,Nothing,I no can eat!,Nothing,Potion,Eye Drops,Nothing,Skeleton
Ghost,167,Friendly,Nothing,Nothing,Nothing,Nothing,I no can eat!,Hi-Potion,Nothing,Nothing,Nothing,Zombie
Ladybug,168,Normal,Nothing,Nothing,Nothing,Nothing,I no can eat!,Ether,Nothing,Echo Screen,Nothing,Zaghnol
Yeti,169,Normal,Eye Drops,Ore,Hi-Potion,Nothing,Pumpkin Head,Nothing,Potion,Eye Drops,Ether,Yeti
Nymph,170,Friendly,Nothing,Nothing,Nothing,Nothing,I no can eat!,Emerald,Nothing,Nothing,Nothing,Nymph
Jabberwock,171,Friendly,Nothing,Nothing,Nothing,Nothing,I no can eat!,Moonstone,Nothing,Nothing,Nothing,Carrion Worm
Feather Circle,172,Friendly,Nothing,Nothing,Nothing,Nothing,I no can eat!,Lapis Lazuli,Nothing,Nothing,Nothing,Nymph
Garuda,173,Friendly,Nothing,Nothing,Nothing,Nothing,I no can eat!,Diamond,Nothing,Nothing,Nothing,Shiva
Yan,174,Friendly,Nothing,Nothing,Nothing,Nothing,I no can eat!,Rosetta Ring,Nothing,Nothing,Nothing,None
Behemoth,175,Normal ,Nothing,Nothing,Nothing,Pheonix Pinion,Angel's Snack,Nothing,Nothing,Nothing,Nothing,Ogre
Quale,176,Boss,Elixir,Ninja Gear,Glutton's Robe,Robe of Lords,I no can eat!,Elixir,Elixir,Elixir,Elixir,Grand Dragon
Ozma,177,Boss,Elixir,Robe of Lords,Dark Matter,Pumice Piece,I no can eat!,Pumice,Dark Matter,Dark Matter,Dark Matter,Ozma
Nova Dragon,178,Boss,Remedy ,Dragon Wrist,Nothing,Grand Armor,I no can eat!,Wing Edge,Ether,Elixir,Nothing,Elixir
Chimera,179,Normal,Vaccine,Garnet,Remedy,Remedy,Frost,Pheonix Down,Antidote,Vaccine,Nothing,Ash
Iron Man,180,Normal,Pheonix Down,Pheonix Down,Pheonix Down,Pheonix Down,I no can eat!,Pheonix Down,Sapphire,Pheonix Down,Ether,Abadon
Ash,181,Normal,Tent,Tent,Tent,Tent,Doom,Hi-Potion,Lapis Lazuli,Vaccine,Ether,
Malaris,182,Boss,Genji Armor,Ultima Sword,Masamune,Nothing,I no can eat!,Pheonix Pinion,Pheonix Down,Ether,Elixir,None
Tiamat,183,Boss,Blood Sword,Feather Boots,Nothing,Grand Helm,I no can eat!,Wing Edge,Pheonix Down,Ether,Elixir,None
Stilva,185,Normal,Ether,Ether,Ether,Ether,Auto-Life,Tent,Garnet,Antidote,Tent,Vepal
Kraken,186,Boss,Genji Helmet,Wizard Rod,Nothing,Glutton's Robe,I no can eat!,Pheonix Pinion,Pheonix Down,Ether,Elixir,None
Right Tentacle,187,Boss - Kraken,Wing Edge,Nothing,Nothing,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Left Tentacle,188,Boss - Kraken,Elixir,Nothing,Nothing,Nothing,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Lich,189,Boss,Genji Gloves,Siren's Flute,Black Robe,Nothing,I no can eat!,Pheonix Pinion,Pheonix Down,Ether,Elixir,None
Hades,190,Boss,Reflect Ring,Running Shoes,Battle Boots,Robe of Lords,I no can eat!,Wing Edge,Elixir,Elixir,Elixir,Holy
Maliris,191,Crystal,Pheonix Down,Pheonix Down,Pheonix Pinion,Pheonix Pinion,Mustard Bomb,Pheonix Down,Opal,Ether,Elixir,Ifrit
Tiamat,192,Crystal,Ether,Ether,Wing Edge,Wing Edge,Twister,Remedy,Peridot,Pheonix Down,Echo Screen,Garuda
Kraken,193,Crystal,Annoyntment,Annoyntment,Eye Drops,Annoyntment,Frost,Remedy,Amethyst,Annoyntment,Elixir,Veteran
Lich,194,Crystal,Ore,Ore,Ore,Ore,LV5 Death,Tent,Topaz,Ether,Elixir,Wraith
Death Guise,195,Boss,Elixir,Black Belt,Nothing,Duel Claws,I no can eat!,Wedge Wing,Pheonix Down,Ether,Elixir,None
Trance Kuja,196,Boss,Ether,White Robe,Nothing,Rebirth Ring,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
Necron,197,Boss,Elixir,Elixir,Elixir,Elixir,I no can eat!,Nothing,Nothing,Nothing,Nothing,None
